Region,Scenario,Percentile,Year,SLR,Total_AAL,Building_AAL,Crops_AAL,Road_AAL,Infrastructure_AAL,Average_Annual_Population_Exposed
National,ssp585 (low confidence),17,2130,0.8,2.187773161E7,1.61858263E7,465865.79,1393852.44,3832187.98,4454.87
National,ssp585 (low confidence),17,2140,0.879,2.440348009E7,1.825320926E7,495717.6,1536788.11,4117765.34,4488.01
National,ssp585 (low confidence),17,2150,0.954,2.710264633E7,2.050835515E7,525276.22,1686119.64,4382895.39,4902.3
National,ssp585 (low confidence),50,2020,0.054,6067977.86,4001869.55,227537.12,462059.7,1376511.73,2111.41
National,ssp585 (low confidence),50,2030,0.105,6676501.02,4433525.29,241754.2,501011.76,1500209.52,2133.03
National,ssp585 (low confidence),50,2040,0.167,7550093.5,5058988.18,259602.11,555144.42,1676359.0,2344.92
National,ssp585 (low confidence),50,2050,0.246,8763051.29,5937928.22,282690.28,628872.27,1913560.52,2581.37
National,ssp585 (low confidence),50,2060,0.335,1.028387257E7,7057663.7,309298.87,720825.05,2196085.31,2808.23
National,ssp585 (low confidence),50,2070,0.451,1.254743504E7,8765706.65,344968.49,857118.02,2579642.1,3119.38
National,ssp585 (low confidence),50,2080,0.585,1.560690923E7,1.113117705E7,388096.36,1036735.58,3050899.97,3469.2
National,ssp585 (low confidence),50,2090,0.755,2.04386243E7,1.500820298E7,448856.86,1312282.49,3669282.03,4397.56
National,ssp585 (low confidence),50,2100,0.958,2.725288219E7,2.063469509E7,526877.79,1694398.6,4396910.73,4905.84
National,ssp585 (low confidence),50,2110,1.146,3.506968288E7,2.73198612E7,606017.7,2116009.67,5027794.5,5772.2
National,ssp585 (low confidence),50,2120,1.368,4.63102911E7,3.712822441E7,706221.37,2697610.88,5778234.38,6745.95
National,ssp585 (low confidence),50,2130,1.614,6.175023656E7,5.081305056E7,820968.34,3443695.94,6672522.06,7940.03
National,ssp585 (low confidence),50,2140,1.883,8.233624899E7,6.935107584E7,950828.24,4378826.58,7655518.39,9256.02
National,ssp585 (low confidence),83,2020,0.094,6537477.94,4333361.24,238654.65,492509.29,1472953.28,2127.9
National,ssp585 (low confidence),83,2030,0.17,7592271.9,5089252.58,260465.32,557748.88,1684805.47,2347.74
National,ssp585 (low confidence),83,2040,0.287,9430819.66,6424609.34,294805.94,669193.44,2042211.02,2599.94
National,ssp585 (low confidence),83,2050,0.433,1.216930061E7,8476664.36,339359.64,834483.06,2518793.3,3084.44
National,ssp585 (low confidence),83,2060,0.616,1.639788293E7,1.175521944E7,398614.03,1081903.88,3162145.42,3635.56
National,ssp585 (low confidence),83,2070,0.853,2.357226759E7,1.75728046E7,485892.89,1489784.11,4023785.94,4476.43
National,ssp585 (low confidence),83,2080,1.123,3.40216462E7,2.641210723E7,595823.13,2060057.22,4953658.76,5671.9
National,ssp585 (low confidence),83,2090,1.437,5.032475303E7,4.066501971E7,738069.5,2896469.08,6025194.55,7159.44
National,ssp585 (low confidence),83,2100,1.783,7.421564141E7,6.200130747E7,902330.23,4017652.4,7294351.33,8755.07
National,ssp585 (low confidence),95,2020,0.116,6830920.22,4544494.49,244919.54,510511.21,1530994.99,2232.55
National,ssp585 (low confidence),95,2030,0.22,8338712.1,5629301.06,275002.82,603048.18,1831360.31,2513.25
National,ssp585 (low confidence),95,2040,0.391,1.131196229E7,7823648.61,326345.53,783412.79,2378555.31,2858.2
National,ssp585 (low confidence),95,2050,0.598,1.591750776E7,1.137261481E7,392358.49,1054857.14,3097677.39,3472.39
National,ssp585 (low confidence),95,2060,0.841,2.31886164E7,1.725877168E7,481358.49,1468068.82,3980417.43,4475.21
National,ssp585 (low confidence),95,2070,1.161,3.575338348E7,2.791187482E7,612662.53,2152368.19,5076477.89,5793.21
National,ssp585 (low confidence),95,2080,1.557,5.791560515E7,4.739555892E7,794092.38,3263077.21,6462876.6,7703.5
National,ssp585 (medium confidence),5,2030,0.046,5973899.13,3935570.89,225312.93,455956.67,1357058.41,2100.17
National,ssp585 (medium confidence),5,2040,0.077,6337971.5,4192477.09,233929.46,479584.81,1431979.89,2124.38
National,ssp585 (medium confidence),5,2050,0.124,6944213.41,4625199.55,247224.28,517661.52,1554127.77,2279.4
National,ssp585 (medium confidence),5,2060,0.184,7789162.35,5230485.86,264494.02,569915.13,1724267.62,2354.69
National,ssp585 (medium confidence),5,2070,0.243,8714202.19,5902317.38,281803.47,625916.06,1904165.16,2578.86
National,ssp585 (medium confidence),5,2080,0.312,9860567.62,6743062.53,302286.38,694682.43,2120536.49,2665.52
National,ssp585 (medium confidence),5,2090,0.414,1.176939536E7,8171564.06,333433.58,810426.77,2453970.95,2964.5
National,ssp585 (medium confidence),5,2100,0.484,1.324012541E7,9295617.64,355246.08,898442.51,2690819.11,3136.69
National,ssp585 (medium confidence),5,2110,0.478,1.311417957E7,9199270.11,353377.31,890943.06,2670589.08,3134.32
National,ssp585 (medium confidence),5,2120,0.554,1.486624407E7,1.055544035E7,377933.0,993481.09,2939389.3,3443.46
National,ssp585 (medium confidence),5,2130,0.624,1.66161226E7,1.192794947E7,401425.05,1094654.45,3192093.68,3707.86
National,ssp585 (medium confidence),5,2140,0.691,1.843658074E7,1.337456416E7,424922.34,1199236.72,3437857.5,3813.06
National,ssp585 (medium confidence),5,2150,0.75,2.027875698E7,1.487735601E7,446967.17,1303200.91,3651233.41,4387.28
National,ssp585 (medium confidence),17,2020,0.02,5667820.82,3720101.48,218082.31,435972.5,1293664.27,2046.98
National,ssp585 (medium confidence),17,2030,0.068,6232275.32,4117891.55,231428.29,472733.6,1410221.93,2122.68
National,ssp585 (medium confidence),17,2040,0.11,6745213.76,4483965.77,243188.07,505029.95,1513029.66,2146.39
National,ssp585 (medium confidence),17,2050,0.167,7550093.5,5058988.18,259602.11,555144.42,1676359.0,2344.92
National,ssp585 (medium confidence),17,2060,0.234,8567195.9,5795484.72,279142.62,617016.61,1875551.89,2560.7
National,ssp585 (medium confidence),17,2070,0.307,9768915.83,6674670.97,300765.59,689172.27,2104306.56,2621.52
National,ssp585 (medium confidence),17,2080,0.389,1.12752717E7,7796292.18,325736.69,781182.15,2372060.75,2857.75
National,ssp585 (medium confidence),17,2090,0.499,1.355493119E7,9536486.2,359917.42,917211.7,2741315.82,3143.4
National,ssp585 (medium confidence),17,2100,0.604,1.60726621E7,1.149612429E7,394408.73,1063381.76,3118746.89,3489.6
National,ssp585 (medium confidence),17,2110,0.621,1.653434435E7,1.186317589E7,400370.05,1089830.37,3180968.36,3683.97
National,ssp585 (medium confidence),17,2120,0.713,1.909313799E7,1.390908776E7,432959.19,1234856.48,3516234.09,3992.62
National,ssp585 (medium confidence),17,2130,0.8,2.187773161E7,1.61858263E7,465865.79,1393852.44,3832187.98,4454.87
National,ssp585 (medium confidence),17,2140,0.879,2.440348009E7,1.825320926E7,495717.6,1536788.11,4117765.34,4488.01
National,ssp585 (medium confidence),17,2150,0.954,2.710264633E7,2.050835515E7,525276.22,1686119.64,4382895.39,4902.3
National,ssp585 (medium confidence),50,2020,0.05,6021023.06,3968720.35,226425.42,459007.55,1366870.1,2103.13
National,ssp585 (medium confidence),50,2030,0.102,6635253.42,4403260.96,240894.85,498632.01,1492465.57,2130.95
National,ssp585 (medium confidence),50,2040,0.162,7479776.72,5008547.44,258163.46,550796.65,1662269.51,2342.65
National,ssp585 (medium confidence),50,2050,0.237,8616287.47,5831095.78,280029.11,619973.08,1885189.53,2567.91
National,ssp585 (medium confidence),50,2060,0.316,9934120.77,6797775.69,303508.01,699323.79,2133513.28,2718.44
National,ssp585 (medium confidence),50,2070,0.418,1.185388528E7,8235795.78,334682.66,815470.96,2467935.88,3007.57
National,ssp585 (medium confidence),50,2080,0.528,1.424448788E7,1.00725643E7,369404.77,957085.63,2845432.89,3387.77
National,ssp585 (medium confidence),50,2090,0.664,1.770310872E7,1.279160038E7,415455.24,1157173.14,3338880.54,3795.47
National,ssp585 (medium confidence),50,2100,0.823,2.261307896E7,1.678772232E7,474556.58,1435469.2,3915330.53,4469.8
National,ssp585 (medium confidence),50,2110,0.928,2.61257308E7,1.96871458E7,514860.67,1632223.18,4291500.93,4830.8
National,ssp585 (medium confidence),50,2120,1.061,3.135854301E7,2.41225483E7,569283.48,1917650.09,4749061.35,5326.89
National,ssp585 (medium confidence),50,2130,1.19,3.707477749E7,2.905643426E7,625508.42,2222556.32,5170278.77,5814.7
National,ssp585 (medium confidence),50,2140,1.31,4.310145888E7,3.431773305E7,679645.64,2533977.85,5570102.21,6333.89
National,ssp585 (medium confidence),50,2150,1.425,4.959572396E7,4.002085338E7,732488.72,2860674.94,5981706.92,7109.4
National,ssp585 (medium confidence),83,2020,0.083,6408369.63,4242200.89,235597.41,484144.2,1446427.31,2127.17
National,ssp585 (medium confidence),83,2030,0.143,7212423.27,4816873.44,252694.2,534277.65,1608577.8,2323.06
National,ssp585 (medium confidence),83,2040,0.227,8453128.95,5712393.03,277072.84,610080.51,1853582.68,2539.43
National,ssp585 (medium confidence),83,2050,0.328,1.015527624E7,6961915.61,307166.4,712953.0,2173241.46,2794.92
National,ssp585 (medium confidence),83,2060,0.433,1.216930061E7,8476664.36,339359.64,834483.06,2518793.3,3084.44
National,ssp585 (medium confidence),83,2070,0.578,1.543967784E7,1.100117201E7,385801.67,1026979.81,3025724.6,3466.26
National,ssp585 (medium confidence),83,2080,0.733,1.973490849E7,1.443247601E7,440537.94,1272210.1,3589684.72,4319.18
National,ssp585 (medium confidence),83,2090,0.918,2.574962679E7,1.937129605E7,510852.54,1611277.29,4256200.62,4760.77
National,ssp585 (medium confidence),83,2100,1.144,3.497857956E7,2.724092589E7,605131.61,2111158.04,5021363.94,5770.27
National,ssp585 (medium confidence),83,2110,1.343,4.492783488E7,3.591680593E7,694774.04,2627586.88,5688668.06,6696.95
National,ssp585 (medium confidence),83,2120,1.539,5.672657385E7,4.63380855E7,785648.28,3206250.64,6396589.65,7672.09
National,ssp585 (medium confidence),83,2130,1.733,7.039301524E7,5.85596823E7,878190.67,3843418.08,7111724.47,8669.33
National,ssp585 (medium confidence),83,2140,1.919,8.541284566E7,7.214708832E7,968398.5,4512171.99,7785186.85,9574.51
National,ssp585 (medium confidence),95,2020,0.107,6703890.84,4453701.71,242327.61,502611.12,1505250.14,2137.08
National,ssp585 (medium confidence),95,2030,0.177,7690722.69,5159868.92,262479.91,563840.21,1704533.38,2352.76
National,ssp585 (medium confidence),95,2040,0.28,9316833.28,6341517.38,292737.8,662323.48,2020254.63,2598.53
National,ssp585 (medium confidence),95,2050,0.405,1.158082389E7,8027042.75,330632.67,799268.47,2423879.76,2873.16
National,ssp585 (medium confidence),95,2060,0.535,1.441197577E7,1.020256938E7,371701.21,966909.32,2870795.58,3409.68
National,ssp585 (medium confidence),95,2070,0.715,1.915757069E7,1.396142668E7,433718.0,1238679.87,3523745.92,4066.78
National,ssp585 (medium confidence),95,2080,0.91,2.544842167E7,1.911861636E7,507639.81,1594167.4,4227997.99,4540.92
National,ssp585 (medium confidence),95,2090,1.142,3.488745297E7,2.71619908E7,604244.99,2106313.52,5014903.48,5763.21
National,ssp585 (medium confidence),95,2100,1.421,4.935234479E7,3.980613134E7,730627.12,2848680.78,5966905.87,7074.26
National,ssp585 (medium confidence),95,2110,1.675,6.609208715E7,5.469659366E7,850264.48,3646416.55,6898812.38,8239.45
National,ssp585 (medium confidence),95,2120,1.922,8.567834842E7,7.238871583E7,969871.5,4523734.08,7796027.08,9612.17
