Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Buildings,Depth.range_<_0.5.Population,Depth.range_0.5_1.0.Buildings,Depth.range_0.5_1.0.Population,Depth.range_1.0_1.5.Buildings,Depth.range_1.0_1.5.Population,Depth.range_1.5_2.0.Buildings,Depth.range_1.5_2.0.Population,Depth.range_2.0_+.Buildings,Depth.range_2.0_+.Population
National,ssp119 (medium confidence),5,2020,0.012,1,0.6321,322,121,80,242,18240,5950,12290,42511840,198,43,7.05,36550,537995,257509,3283361,144,7992,79457,1,0,1,46412653,320291,312,188,10,9,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2020,0.012,5,0.1813,3290,2238,771,2519,7425316,2422649,5002666,328655954,4371,932,61.8,887646,7571014,2751343,20107871,774,482336,853165,7,0,13,357188003,11546640,1598,2686,955,979,461,521,273,184,3,0
National,ssp119 (medium confidence),5,2020,0.012,10,0.0952,3632,2558,847,2785,9467561,3154657,6312904,352162935,4847,1035,69.53,1080029,8994078,3112616,22057427,854,547539,917123,8,0,14,384131563,14207744,1634,2641,1087,1321,555,634,317,240,39,11
National,ssp119 (medium confidence),5,2020,0.012,25,0.0392,4136,2981,950,3186,12486064,4232325,8253738,386845713,5607,1200,79.54,1364597,10797458,3546971,24533111,981,629885,999779,9,0,14,423176061,18027517,1758,2710,1267,1768,644,720,348,355,119,54
National,ssp119 (medium confidence),5,2020,0.012,50,0.0198,4564,3322,1036,3528,14885630,5026310,9859321,414121994,6109,1310,87.52,1610694,12318263,3857493,27239975,1053,689630,1068167,11,0,15,454748400,21043447,1870,2775,1400,2058,758,730,362,420,174,127
National,ssp119 (medium confidence),5,2020,0.012,100,0.01,5004,3698,1126,3878,17700072,5881031,11819041,442738354,6734,1447,95.73,1893786,13872911,4179034,29971310,1148,752801,1135529,11,0,16,487718105,24525693,1978,2791,1540,2381,837,904,409,455,240,204
National,ssp119 (medium confidence),5,2020,0.012,250,0.004,5762,4258,1301,4461,22258622,7182831,15075790,477983018,7720,1660,109.07,2360791,16472036,4670446,33702402,1281,843433,1246187,14,0,17,529403644,30133293,2172,2981,1785,2688,992,1205,491,497,322,349
National,ssp119 (medium confidence),5,2030,0.029,1,0.6321,354,121,83,271,29079,9632,19447,46831674,229,50,7.56,39248,600127,277347,3635651,161,9226,88805,1,0,1,51156256,354900,343,220,11,9,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2030,0.029,5,0.1813,3451,2238,805,2646,7715648,2522619,5193029,337762242,4589,979,65.09,915648,8212915,2837634,21403109,806,493168,884898,7,0,14,368263164,11962098,1711,2805,979,1061,474,539,284,184,3,0
National,ssp119 (medium confidence),5,2030,0.029,10,0.0952,3820,2558,890,2930,9833249,3285280,6547968,366333308,5120,1094,73.1,1112263,9621565,3205823,23418387,896,558616,946643,8,0,14,400319904,14709951,1771,2797,1109,1388,575,666,315,250,50,19
National,ssp119 (medium confidence),5,2030,0.029,25,0.0392,4322,2981,991,3331,12936396,4393582,8542814,398499856,5822,1247,83.75,1402761,11804019,3653893,26688120,1020,641095,1035695,11,0,15,438027690,18634145,1888,2813,1288,1866,671,706,346,370,129,67
National,ssp119 (medium confidence),5,2030,0.029,50,0.0198,4752,3322,1078,3674,15412187,5205932,10206255,427102486,6443,1382,91.58,1652201,13196569,3977176,29723885,1099,700956,1102523,11,0,17,471125463,21742521,1991,2979,1423,2135,780,768,375,429,183,131
National,ssp119 (medium confidence),5,2030,0.029,100,0.01,5218,3698,1167,4051,18308304,6089829,12218475,456529753,7033,1511,100.19,1940025,14762987,4315249,33243394,1225,764263,1176323,11,0,17,505712457,25327841,2138,2982,1559,2420,848,963,425,448,248,221
National,ssp119 (medium confidence),5,2030,0.029,250,0.004,6001,4258,1342,4659,22979869,7423709,15556160,494099624,8002,1721,113.47,2415136,17370301,4817329,35642090,1322,854877,1291943,15,0,17,548403957,31067211,2351,3124,1789,2733,1022,1263,508,527,331,354
National,ssp119 (medium confidence),5,2040,0.05,1,0.6321,365,121,84,281,42468,14180,28288,47579939,238,52,7.72,42464,608812,300833,3658270,167,10749,93233,1,0,1,51940254,396514,350,229,15,9,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2040,0.05,5,0.1813,3507,2238,818,2689,8074294,2646110,5428184,344247816,4667,996,66.14,949894,8448345,2942317,21908345,818,506540,898674,7,0,14,375503180,12473044,1706,2811,1005,1090,488,568,301,197,7,0
National,ssp119 (medium confidence),5,2040,0.05,10,0.0952,3872,2558,900,2972,10284981,3446639,6838342,370013076,5164,1104,74.32,1151564,9885240,3320949,24361992,922,572284,953039,8,0,14,405213346,15329778,1756,2720,1143,1476,592,676,325,269,56,24
National,ssp119 (medium confidence),5,2040,0.05,25,0.0392,4372,2981,1002,3370,13492690,4592782,8899908,404361617,5888,1261,84.91,1448957,12044839,3786971,28242840,1038,654929,1049429,11,0,15,445698725,19383545,1862,2770,1324,1941,697,715,346,372,143,88
National,ssp119 (medium confidence),5,2040,0.05,50,0.0198,4821,3322,1088,3733,16062640,5427820,10634821,431560112,6511,1397,92.79,1702581,13425568,4119936,30150741,1116,714934,1114331,11,0,17,476250752,22600090,1991,2906,1444,2194,807,828,386,447,193,136
National,ssp119 (medium confidence),5,2040,0.05,100,0.01,5287,3698,1179,4108,19059650,6347756,12711894,459396919,7106,1527,101.38,1996023,15020553,4475999,33588661,1232,778402,1186655,11,0,17,509192787,26310073,2112,2980,1599,2417,882,1004,433,475,261,231
National,ssp119 (medium confidence),5,2040,0.05,250,0.004,6089,4258,1363,4726,23870821,7721263,16149558,504078686,8079,1738,114.67,2480936,17620591,4994808,35968039,1330,868989,1301291,15,0,17,558968608,32215554,2365,3083,1791,2778,1060,1317,530,527,343,374
National,ssp119 (medium confidence),5,2050,0.092,1,0.6321,369,121,84,285,69245,23276,45969,48043754,238,52,7.88,48914,621460,347916,3709721,171,13789,96677,1,0,1,52471612,479864,328,224,41,14,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2050,0.092,5,0.1813,3535,2238,826,2709,8791586,2893093,5898493,346060778,4731,1010,66.84,1017914,8606288,3149523,21944641,822,533268,903347,7,0,14,377515054,13492291,1617,2698,1047,1207,540,600,310,221,21,6
National,ssp119 (medium confidence),5,2050,0.092,10,0.0952,3899,2558,903,2996,11188446,3769356,7419089,372221834,5223,1117,74.86,1229476,9994085,3547552,24516393,930,599613,956975,8,0,14,407689287,16565086,1662,2609,1209,1561,619,728,329,301,80,24
National,ssp119 (medium confidence),5,2050,0.092,25,0.0392,4410,2981,1011,3399,14605276,4991181,9614094,406041421,5933,1271,85.65,1540886,12163240,4045083,28430913,1043,682581,1052381,11,0,15,447687955,20873825,1746,2618,1392,2063,739,735,365,404,168,112
National,ssp119 (medium confidence),5,2050,0.092,50,0.0198,4865,3322,1094,3771,17363545,5871594,11491952,433874588,6573,1410,93.41,1802904,13542712,4405557,30635518,1123,742874,1121219,11,0,17,479174037,24314880,1909,2753,1495,2275,834,900,405,468,222,178
National,ssp119 (medium confidence),5,2050,0.092,100,0.01,5327,3698,1187,4140,20562342,6863610,13698732,460918251,7157,1538,102.17,2107684,15163930,4796833,33843142,1237,806668,1194035,11,0,17,511119358,28273527,2018,2789,1633,2507,925,1104,465,497,286,260
National,ssp119 (medium confidence),5,2050,0.092,250,0.004,6146,4258,1368,4778,25652726,8316372,17336354,506600600,8135,1750,115.47,2612390,17830039,5350687,36522739,1340,897200,1308671,15,0,17,562262049,34513003,2267,2877,1813,2921,1134,1371,553,559,379,407
National,ssp119 (medium confidence),5,2060,0.102,1,0.6321,371,184,85,286,76326,25642,50684,48150781,238,52,7.91,50454,622659,359112,3709721,171,14552,96677,1,0,1,52579837,500444,317,214,54,24,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2060,0.102,5,0.1813,3540,2536,828,2712,8970648,2955049,6015599,346303821,4731,1010,66.97,1034132,8623462,3199089,21980642,825,539662,905315,7,0,14,377813240,13743531,1583,2661,1070,1231,544,591,322,243,21,6
National,ssp119 (medium confidence),5,2060,0.102,10,0.0952,3912,2874,910,3002,11411104,3849008,7562096,373138959,5250,1123,75.01,1248129,10031942,3602468,24700722,937,606127,958451,8,0,14,408830073,16867828,1644,2548,1229,1625,622,747,331,306,86,24
National,ssp119 (medium confidence),5,2060,0.102,25,0.0392,4416,3333,1013,3403,14879840,5088549,9791291,406177732,5951,1275,85.92,1562971,12246383,4108380,28702097,1048,689150,1054799,11,0,15,448181010,21240342,1726,2585,1398,2076,748,769,371,405,173,117
National,ssp119 (medium confidence),5,2060,0.102,50,0.0198,4875,3668,1099,3776,17683803,5981263,11702540,434194768,6586,1413,93.72,1827009,13638073,4474779,30855937,1125,749515,1123187,11,0,17,479811964,24735106,1880,2704,1506,2285,848,930,407,490,234,178
National,ssp119 (medium confidence),5,2060,0.102,100,0.01,5339,4063,1191,4148,20931001,6989931,13941069,461498325,7163,1539,102.48,2134459,15267877,4873973,33879174,1239,813386,1196987,11,0,17,511842362,28752819,1999,2712,1647,2559,926,1126,475,498,292,268
National,ssp119 (medium confidence),5,2060,0.102,250,0.004,6161,4687,1372,4789,26088469,8461807,17626662,507314341,8166,1757,115.67,2643830,17868178,5435550,36566054,1343,903945,1310639,15,0,17,563059212,35071794,2240,2881,1824,2902,1141,1404,567,563,389,417
National,ssp119 (medium confidence),5,2070,0.126,1,0.6321,422,184,95,327,100085,33236,66849,53753284,330,72,8.84,54598,699493,388163,4055228,193,16788,113897,2,0,2,58621902,559635,345,288,77,42,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2070,0.126,5,0.1813,3782,2536,883,2899,9479872,3133995,6345877,364307564,5009,1070,72.43,1078605,9757497,3337622,24966235,905,555354,939755,8,0,14,399971051,14451453,1753,2768,1102,1354,570,624,329,248,28,15
National,ssp119 (medium confidence),5,2070,0.126,10,0.0952,4167,2874,960,3207,12017939,4067192,7950747,389862136,5655,1210,80.57,1298313,11310772,3759891,28031006,1012,621920,1007609,11,0,15,430211523,17698062,1825,2823,1266,1741,640,732,335,327,101,33
National,ssp119 (medium confidence),5,2070,0.126,25,0.0392,4715,3333,1064,3651,15631560,5346331,10285228,429338539,6328,1357,91.67,1622171,13479932,4281520,30515408,1100,704851,1105475,11,0,16,474439354,22240101,1954,2827,1410,2161,784,792,380,418,187,130
National,ssp119 (medium confidence),5,2070,0.126,50,0.0198,5189,3668,1165,4024,18553399,6282954,12270445,459654001,7013,1506,99.91,1892297,15073952,4665970,34019464,1215,765424,1174847,11,0,17,509922264,25877090,2118,2956,1536,2411,860,954,426,504,249,188
National,ssp119 (medium confidence),5,2070,0.126,100,0.01,5638,4063,1248,4390,21920183,7326693,14593490,489569510,7710,1656,108.83,2206599,16679501,5077112,35627943,1286,829473,1245203,13,0,17,543122157,30033366,2202,3103,1668,2645,971,1170,487,502,310,289
National,ssp119 (medium confidence),5,2070,0.126,250,0.004,6540,4687,1460,5080,27244468,8846784,18397684,536483944,8804,1894,121.95,2727059,19329198,5655852,38878733,1409,920477,1362257,16,0,17,596054132,36547856,2533,3380,1830,2912,1189,1469,578,599,410,444
National,ssp119 (medium confidence),5,2080,0.14,1,0.6321,431,184,97,334,113945,37667,76279,55519624,341,74,8.96,57034,709689,405143,4098601,199,18094,116849,2,0,2,60444762,594216,343,299,88,42,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2080,0.14,5,0.1813,3831,2536,890,2941,9776919,3238380,6538539,366415967,5093,1089,73.53,1104859,9953388,3421155,26001725,926,564513,949103,9,0,14,403320183,14867445,1757,2810,1126,1377,582,643,327,243,39,19
National,ssp119 (medium confidence),5,2080,0.14,10,0.0952,4219,2874,967,3252,12371926,4194466,8177460,393884081,5719,1223,81.65,1327846,11499190,3852326,28520953,1025,631135,1016465,11,0,15,434920689,18183234,1833,2806,1281,1803,657,737,337,326,111,47
National,ssp119 (medium confidence),5,2080,0.14,25,0.0392,4789,3333,1075,3714,16070063,5496705,10573358,437345772,6409,1375,92.71,1657078,13726248,4384350,31166222,1114,714013,1114823,11,0,16,483353066,22825503,1994,2828,1422,2185,795,838,383,419,195,139
National,ssp119 (medium confidence),5,2080,0.14,50,0.0198,5241,3668,1170,4071,19060664,6458941,12601723,463262034,7084,1521,100.89,1930594,15224475,4778009,34356771,1225,774710,1187147,11,0,17,514030427,26543976,2118,2965,1560,2437,867,974,444,513,252,196
National,ssp119 (medium confidence),5,2080,0.14,100,0.01,5702,4063,1263,4439,22497206,7523137,14974069,494338839,7809,1677,109.82,2248812,16861023,5198032,36367639,1298,838863,1257503,13,0,17,548825003,30782913,2203,3155,1696,2642,992,1198,493,502,318,312
National,ssp119 (medium confidence),5,2080,0.14,250,0.004,6622,4687,1477,5145,27918800,9071353,18847447,542656299,8877,1910,123.48,2776292,19718232,5785124,39322817,1419,930125,1372589,16,0,17,603069937,37410342,2569,3397,1833,2881,1208,1524,590,616,422,459
National,ssp119 (medium confidence),5,2090,0.162,1,0.6321,436,184,98,338,135725,44628,91096,55872524,345,75,9.03,60845,725184,431721,4114705,200,20146,120293,2,0,2,60832707,648437,334,289,102,56,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2090,0.162,5,0.1813,3862,2536,895,2967,10243707,3402413,6841294,369048929,5149,1101,74.26,1145820,10085491,3549743,26273695,934,578903,955457,9,0,14,406363572,15518172,1725,2717,1162,1454,596,706,321,253,58,19
National,ssp119 (medium confidence),5,2090,0.162,10,0.0952,4245,2874,972,3273,12928192,4394469,8533724,395141137,5770,1234,82.4,1374145,11672444,3996406,28701914,1031,645615,1023845,11,0,15,436539340,18944357,1801,2762,1291,1860,675,742,355,353,123,52
National,ssp119 (medium confidence),5,2090,0.162,25,0.0392,4844,3333,1087,3757,16759139,5733005,11026133,440168071,6461,1386,93.56,1711637,13872942,4543467,31201754,1115,728404,1120235,11,0,17,486363002,23742647,1971,2732,1449,2252,824,880,392,443,208,153
National,ssp119 (medium confidence),5,2090,0.162,50,0.0198,5277,3668,1178,4099,19857794,6735491,13122302,465237244,7140,1533,101.55,1990632,15340712,4954185,34745723,1231,789296,1192067,11,0,17,516515746,27591907,2075,2887,1586,2499,896,1031,460,513,260,211
National,ssp119 (medium confidence),5,2090,0.162,100,0.01,5750,4063,1271,4479,23403956,7831835,15572121,497163213,7862,1688,110.63,2315101,17045848,5386881,36771135,1308,853615,1264841,13,0,17,552245037,31959553,2158,3096,1715,2648,1031,1264,508,530,338,323
National,ssp119 (medium confidence),5,2090,0.162,250,0.004,6665,4687,1489,5176,28978465,9424248,19554217,545528662,8963,1929,124.19,2853224,19903976,5987182,39511859,1423,945283,1378985,16,0,17,606323482,38764154,2535,3364,1818,2892,1267,1609,610,621,435,477
National,ssp119 (medium confidence),5,2100,0.145,1,0.6321,432,184,97,335,118895,39249,79646,55568447,341,74,8.98,57898,710488,411170,4098601,199,18562,119309,2,0,2,60496845,606524,339,289,93,51,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2100,0.145,5,0.1813,3842,2536,892,2950,9883007,3275660,6607347,366991190,5122,1095,73.75,1114195,9983166,3450888,26237171,929,567782,949595,9,0,14,404161122,15015872,1749,2791,1140,1417,586,652,321,243,46,19
National,ssp119 (medium confidence),5,2100,0.145,10,0.0952,4229,2874,969,3260,12498350,4239921,8258429,394555254,5737,1227,81.84,1338362,11567066,3884894,28521449,1027,634427,1018925,11,0,15,435662694,18356034,1830,2809,1286,1813,656,741,344,326,113,47
National,ssp119 (medium confidence),5,2100,0.145,25,0.0392,4814,3333,1079,3735,16226671,5550409,10676261,438376884,6433,1380,92.96,1669488,13788216,4420592,31201754,1115,717284,1115315,11,0,16,484482169,23034035,1998,2825,1435,2202,799,838,384,420,198,148
National,ssp119 (medium confidence),5,2100,0.145,50,0.0198,5252,3668,1172,4080,19241830,6521793,12720036,463632901,7121,1529,101.09,1944268,15262153,4817692,34357271,1226,778025,1187639,11,0,17,514439964,26781815,2117,2964,1565,2466,870,984,447,508,253,201
National,ssp119 (medium confidence),5,2100,0.145,100,0.01,5720,4063,1264,4456,22703285,7593295,15109990,495076193,7824,1680,110.02,2263826,16889912,5241284,36581012,1300,842217,1259963,13,0,17,549807079,31050612,2203,3146,1697,2637,1001,1218,498,511,321,312
National,ssp119 (medium confidence),5,2100,0.145,250,0.004,6636,4687,1482,5154,28159633,9151557,19008076,543090467,8905,1916,123.73,2793853,19803264,5830873,39322817,1419,933571,1374557,16,0,17,603591105,37717930,2561,3379,1833,2918,1224,1524,593,621,425,463
National,ssp119 (medium confidence),5,2110,0.17,1,0.6321,437,184,98,339,143645,47160,96485,55893022,345,75,9.05,62236,728082,441372,4114705,200,20891,121277,2,0,2,60857086,668143,333,289,104,56,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2110,0.17,5,0.1813,3868,2536,895,2973,10413449,3462062,6951387,369364504,5163,1104,74.41,1160667,10134478,3596216,26273695,934,584134,956441,9,0,14,406729118,15754466,1712,2680,1173,1490,595,713,328,257,60,24
National,ssp119 (medium confidence),5,2110,0.17,10,0.0952,4252,2874,976,3276,13130471,4467197,8663274,395415494,5774,1235,82.56,1391066,11729812,4048615,28701914,1031,650879,1026305,11,0,15,436873525,19221031,1778,2721,1311,1877,681,766,349,349,133,61
National,ssp119 (medium confidence),5,2110,0.17,25,0.0392,4854,3333,1088,3766,17009712,5818933,11190779,441065136,6475,1389,93.7,1731451,13895531,4601291,31201754,1115,733637,1121711,11,0,17,487284132,24076090,1957,2683,1459,2305,830,872,397,461,211,153
National,ssp119 (medium confidence),5,2110,0.17,50,0.0198,5286,3668,1179,4107,20147659,6836055,13311604,466234322,7154,1536,101.66,2012427,15359602,5018645,34964030,1233,794600,1193051,11,0,17,517751004,27973330,2049,2873,1595,2517,914,1032,462,521,266,211
National,ssp119 (medium confidence),5,2110,0.17,100,0.01,5758,4063,1272,4486,23733683,7944088,15789595,497535906,7886,1693,110.78,2339153,17067636,5455356,36836630,1311,858978,1267301,13,0,17,552707473,32387170,2147,3074,1712,2681,1038,1251,518,548,343,333
National,ssp119 (medium confidence),5,2110,0.17,250,0.004,6676,4687,1495,5181,29363798,9552574,19811224,545874248,8981,1933,124.44,2881154,19955197,6060535,39527549,1424,950794,1380461,16,0,17,606737455,39256280,2517,3310,1824,2931,1278,1624,611,639,446,477
National,ssp119 (medium confidence),5,2120,0.179,1,0.6321,437,184,98,339,152554,50008,102547,55893022,345,75,9.08,63793,729282,452229,4114705,200,21730,121277,2,0,2,60858286,690307,326,289,111,56,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2120,0.179,5,0.1813,3873,2536,895,2978,10604407,3529167,7075241,369618128,5177,1107,74.54,1177445,10165763,3648500,26273943,935,590019,957425,9,0,14,407015260,16020371,1685,2637,1189,1532,606,721,328,262,65,24
National,ssp119 (medium confidence),5,2120,0.179,10,0.0952,4260,2874,979,3281,13358034,4549016,8809018,395710865,5785,1237,82.66,1409963,11745604,4107603,28773225,1034,656801,1027781,11,0,15,437257474,19532401,1762,2700,1314,1908,690,747,353,367,141,61
National,ssp119 (medium confidence),5,2120,0.179,25,0.0392,4858,3333,1088,3770,17291607,5915601,11376005,441249334,6479,1390,93.76,1753712,13918823,4666343,31202149,1116,739524,1123679,11,0,17,487493985,24451186,1935,2638,1467,2346,833,872,409,470,214,153
National,ssp119 (medium confidence),5,2120,0.179,50,0.0198,5295,3668,1181,4114,20473757,6949189,13524568,466849892,7169,1539,101.82,2036985,15399885,5090517,34999561,1234,800566,1194035,11,0,17,518443373,28401826,2027,2838,1594,2523,937,1070,456,499,281,239
National,ssp119 (medium confidence),5,2120,0.179,100,0.01,5769,4063,1276,4493,24104627,8070374,16034253,498587956,7904,1697,110.87,2366190,17081841,5532159,36836630,1311,865011,1268285,13,0,17,553774712,32867987,2126,3041,1718,2703,1049,1274,524,538,352,347
National,ssp119 (medium confidence),5,2120,0.179,250,0.004,6686,4687,1497,5189,29797297,9696940,20100358,546330752,8981,1933,124.67,2912624,20030709,6143000,39527549,1424,956993,1381937,16,0,17,607270947,39809914,2493,3259,1826,2926,1298,1664,614,645,455,487
National,ssp119 (medium confidence),5,2130,0.184,1,0.6321,437,184,98,339,157504,51590,105914,55893022,345,75,9.09,64658,729682,458261,4114705,200,22196,121277,2,0,2,60858686,702619,323,285,114,60,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2130,0.184,5,0.1813,3877,2536,897,2980,10710496,3566447,7144049,369867703,5182,1108,74.58,1186719,10167362,3677546,26273943,935,593289,957917,9,0,14,407266925,16168049,1676,2633,1190,1533,612,730,332,262,67,24
National,ssp119 (medium confidence),5,2130,0.184,10,0.0952,4264,2874,981,3283,13484458,4594471,8889987,395766580,5789,1238,82.71,1420466,11755198,4140490,28844536,1037,660091,1029257,11,0,15,437395571,19705505,1747,2677,1324,1936,694,747,355,363,144,66
National,ssp119 (medium confidence),5,2130,0.184,25,0.0392,4861,3333,1088,3773,17448215,5969306,11478909,441798005,6484,1391,93.81,1766066,13922021,4702483,31202149,1116,742795,1124171,11,0,17,488046346,24659558,1920,2621,1475,2343,841,897,409,470,216,153
National,ssp119 (medium confidence),5,2130,0.184,50,0.0198,5297,3668,1181,4116,20654923,7012041,13642882,466901468,7173,1540,101.93,2050605,15409679,5130388,34999809,1235,803880,1195019,11,0,17,518505975,28639797,2011,2799,1601,2552,941,1075,462,504,282,244
National,ssp119 (medium confidence),5,2130,0.184,100,0.01,5772,4063,1276,4496,24310706,8140532,16170174,498637819,7908,1698,111.01,2381342,17130214,5575642,37090468,1314,868363,1268285,13,0,17,554126786,33136053,2113,3004,1717,2717,1060,1302,526,538,356,347
National,ssp119 (medium confidence),5,2130,0.184,250,0.004,6691,4687,1498,5193,30038130,9777143,20260987,546591809,8981,1933,124.7,2930039,20032509,6188815,39527549,1424,960437,1381937,16,0,17,607533804,40117421,2477,3250,1826,2917,1313,1673,614,653,461,487
National,ssp119 (medium confidence),5,2140,0.188,1,0.6321,437,184,98,339,161464,52856,108609,55893022,345,75,9.09,65349,729682,463087,4114705,200,22569,121277,2,0,2,60858686,712469,322,281,115,65,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2140,0.188,5,0.1813,3879,2536,898,2981,10795366,3596271,7199095,369954985,5186,1109,74.64,1194143,10170360,3700783,26273943,935,595905,958409,9,0,14,407357698,16286196,1667,2622,1197,1535,612,729,334,277,69,24
National,ssp119 (medium confidence),5,2140,0.188,10,0.0952,4266,2874,981,3285,13585597,4630835,8954762,395852766,5794,1239,82.78,1428894,11770389,4166619,28844536,1037,662723,1029749,11,0,15,437497441,19843833,1736,2641,1329,1964,699,760,355,363,147,66
National,ssp119 (medium confidence),5,2140,0.188,25,0.0392,4862,3333,1088,3774,17573501,6012270,11561232,441814540,6489,1392,93.87,1775998,13939611,4731723,31304571,1118,745412,1124663,11,0,17,488183386,24826634,1911,2607,1474,2348,842,905,414,475,221,153
National,ssp119 (medium confidence),5,2140,0.188,50,0.0198,5302,3668,1181,4121,20799856,7062323,13737533,467202389,7173,1540,101.98,2061497,15414976,5162285,34999809,1235,806532,1195019,11,0,17,518812193,28830170,2004,2772,1609,2558,942,1091,463,509,284,244
National,ssp119 (medium confidence),5,2140,0.188,100,0.01,5775,4063,1276,4499,24475570,8196659,16278911,499005515,7908,1698,111.04,2393358,17152608,5609816,37090468,1314,871045,1268285,13,0,17,554516876,33349789,2099,2977,1719,2739,1070,1302,525,538,362,352
National,ssp119 (medium confidence),5,2140,0.188,250,0.004,6693,4687,1498,5195,30230797,9841306,20389491,546613299,8981,1933,124.79,2943990,20040305,6225466,39527549,1424,963193,1382429,16,0,17,607563582,40363446,2459,3246,1833,2911,1314,1678,624,654,463,491
National,ssp119 (medium confidence),5,2150,0.194,1,0.6321,437,184,98,339,167404,54754,112650,55893022,345,75,9.09,66386,729682,470325,4114705,200,23128,121277,2,0,2,60858686,727243,319,281,118,65,0,0,0,0,0,0
National,ssp119 (medium confidence),5,2150,0.194,5,0.1813,3883,2536,900,2983,10922672,3641008,7281665,370885558,5191,1110,74.69,1205277,10173558,3735638,26274191,936,599828,958901,9,0,14,408292209,16463415,1648,2591,1209,1555,622,745,331,277,73,24
National,ssp119 (medium confidence),5,2150,0.194,10,0.0952,4271,2874,984,3287,13737306,4685381,9051925,397077760,5794,1239,82.9,1441566,11811763,4205812,28844536,1037,666671,1029749,11,0,15,438763808,20051355,1720,2594,1339,1992,707,765,355,377,150,66
National,ssp119 (medium confidence),5,2150,0.194,25,0.0392,4863,3333,1089,3774,17761431,6076715,11684716,441830870,6498,1394,93.94,1790835,13955707,4775113,31304819,1119,749336,1124663,11,0,17,488216059,25076715,1890,2592,1483,2367,852,905,414,480,224,153
National,ssp119 (medium confidence),5,2150,0.194,50,0.0198,5304,3668,1181,4123,21017255,7137746,13879509,467253276,7184,1542,102.02,2077823,15418675,5210132,35000342,1237,810510,1196003,11,0,17,518868295,29115719,1988,2759,1613,2576,948,1086,467,519,288,244
National,ssp119 (medium confidence),5,2150,0.194,100,0.01,5775,4063,1276,4499,24722865,8280850,16442016,499005515,7908,1698,111.1,2411429,17171398,5661077,37090468,1314,875067,1268777,13,0,17,554536158,33670438,2076,2922,1726,2770,1077,1321,529,543,367,352
National,ssp119 (medium confidence),5,2150,0.194,250,0.004,6695,4687,1498,5197,30519796,9937550,20582246,546766474,8995,1936,124.83,2964915,20049502,6280443,39527549,1424,967326,1382921,16,0,17,607726445,40732480,2441,3227,1842,2912,1309,1710,635,650,468,496
National,ssp119 (medium confidence),17,2020,0.026,1,0.6321,350,121,83,267,27166,8982,18184,46484774,229,50,7.53,38747,583735,274004,3635651,161,9009,87821,1,0,1,50791982,348925,339,220,11,9,0,0,0,0,0,0
National,ssp119 (medium confidence),17,2020,0.026,5,0.1813,3440,2238,802,2638,7664413,2504977,5159436,336911189,4575,976,64.78,910731,8137591,2822964,21402861,805,491260,883914,7,0,14,367335555,11889367,1709,2818,976,1034,471,539,281,184,3,0
National,ssp119 (medium confidence),17,2020,0.026,10,0.0952,3805,2558,889,2916,9768716,3262229,6506486,363478574,5106,1091,72.86,1106626,9543499,3189693,23350504,894,556664,946151,8,0,14,397318728,14621699,1765,2783,1104,1398,573,660,313,250,50,15
National,ssp119 (medium confidence),17,2020,0.026,25,0.0392,4303,2981,988,3315,12856926,4365125,8491801,397484972,5818,1246,83.46,1396171,11743041,3635958,26687376,1017,639119,1033235,11,0,15,436948624,18528174,1876,2826,1291,1854,662,715,348,361,126,62
National,ssp119 (medium confidence),17,2020,0.026,50,0.0198,4734,3322,1076,3658,15319265,5174234,10145031,425251031,6432,1380,91.24,1644944,13107809,3955729,29300036,1093,698959,1099079,11,0,17,468757955,21618898,1988,3001,1414,2108,784,763,365,429,183,131
National,ssp119 (medium confidence),17,2020,0.026,100,0.01,5203,3698,1166,4037,18200969,6052982,12147987,455803663,7006,1505,99.78,1931877,14647834,4291575,32934673,1219,762243,1173371,11,0,17,504559541,25186663,2133,2982,1555,2397,846,958,422,448,247,221
National,ssp119 (medium confidence),17,2020,0.026,250,0.004,5977,4258,1338,4639,22852590,7381201,15471389,491520357,7965,1713,113.07,2405621,17284337,4792169,35640611,1319,852860,1287515,15,0,17,545732820,30903240,2341,3128,1784,2721,1014,1245,508,517,330,354
